"STOCK_ID","STOCK_NAME"
1,Apple Inc.
2,Microsoft Corporation
3,Amazon.com Inc.
4,Alphabet Inc. (Google)
5,Facebook Inc.
6,Tesla Inc.
7,Berkshire Hathaway Inc.
8,JPMorgan Chase & Co.
9,Johnson & Johnson
10,Walmart Inc.
11,Visa Inc.
12,Procter & Gamble Co.
13,Mastercard Incorporated
14,Verizon Communications Inc.
15,Coca-Cola Company
16,Intel Corporation
17,McDonalds Corporation
18,Netflix Inc.
19,Adobe Inc.
20,Salesforce.com Inc.
21,NVIDIA Corporation
22,PayPal Holdings Inc.
23,IBM (International Business Machines)
24,Oracle Corporation
25,Home Depot Inc.
